text,level
"Biju pagurusi no šīs prātošanas un tālab nolēmu pastaigāt pa veikaliem cerībā, ka varbūt izdosies kaut ko nočiept",sarežģīts
"Varbūt tu man varētu uzvārīt tēju, ko? – viņš prasīja, jo zināja, ka kafija jau sen izbeigusies",sarežģīts
"Ieva un Līga, lai gan smaidīja, izskatījās noslēpumainas, Edīte ar Aivu ­– neparasti lustīgas",sarežģīts
"Eu, man ir kolosāla ideja! – Aiva pēkšņi iesaucās, paķēra Edīti aiz rokas, un abas iztesās kāpņu telpā",sarežģīts
Kūru vadonis Indulis iemīl vācu bruņinieka meitu Āriju,vidējs
"Rīga ir Latvijas galvaspilsēta – mūsu valsts lielākā pilsēta, izglītības un kultūras, ekonomiskās un politiskās dzīves centrs",sarežģīts
Mūsdienu Rīga plešas gar abiem Daugavas krastiem,vidējs
"Starp papardēm vijās grūti saskatāma taciņa, to lietoja tikai meža zvēri un putni",sarežģīts
Gliemezis sajuta pankūku smaržu,vidējs
"Pēc tam Mākonītim apnika izrādīties, un viņš nolēma doties tālāk",vidējs
Latvijas Nacionālais vēstures muzejs – latviešu tautas materiālās kultūras vērtību lielākā krātuve – dibināts 1869,sarežģīts
Rīgā nonākušie un pie bagātības tikušie latvieši iemācījās runāt vāciski un bieži vien savu izcelsmi noliedza,sarežģīts
"Gatavojoties X Viskrievijas arheoloģijas kongresam Rīgā, 1896",sarežģīts
"Šis sauklis šķiet pilnīgi pamatots, taču neviena no mūsu pāri par 40 politiskajām partijām nav to ierakstījusi savā programmā",sarežģīts
"Savs vārds gan pieder katram cilvēkam, bet ne jau paša sagādāts (izņemot, protams, samērā retos personvārda oficiālas maiņas gadījumus",sarežģīts
"Meitenes mēdz saukt vārdos, kas it kā iemieso skaistumu un grāciju",vidējs
Gribu izstāstīt savu bēdu! Mūsu draudzīgajā kompānijā es pēkšņi sajutos kā piektais ritenis,sarežģīts
Pēc matemātikas es pierunāju Dārtu nākt pie manis,vidējs
Tur tālāk ir mazdārziņi,viegls
"Vēl apstādinu Dārtu pagalma vidū un rādu, ko esmu sazīmējusi ar krītiņiem uz asfalta",sarežģīts
"Dārta iekārtojas uz mammas dīvāna, es uz māsas kušetes",vidējs
"Kāds slēdz durvis! Nevar būt, ka es viņu nepamanīju! Es skrienu pie durvīm",viegls
"Izvediet ārā Foru, kamēr taisīšu vakariņas! — saka mamma",vidējs
Viņas ienes nelaimīgo saini,viegls
Meitukiņ! Vai tu,viegls
Mēs ēdam lēni kā jau nogurušas,viegls
"Jā, viņai lauzta kājiņa, bet gan jau drīz sadzīs",vidējs
"Mammucis tikām jau sataisījis man brokastis, biezpiens, virsū krējums, tad cukurs un kanēlis",sarežģīts
Es skrienu uz trolejbusu,viegls
"Tas bija garš ceļojums, bet ļoti interesants",viegls
"Pagāja vasara un rudens, pienāca barga un auksta ziema",vidējs
"Nabaga bērns! – teica lauku pele, jo bija patiešām lādzīga un labsirdīga vecīte",sarežģīts
"Reiz dzīvoja sieviete, kurai nebija bērnu",viegls
"Nabaga meitenīte pamodās agri, jo viņai bija vēsi",vidējs
"Kad Ķūķis negulēja kāda klēpī, viņš labprāt ierakās mīkstajos tekstilizstrādājumos",sarežģīts
"Piektajā dienā, ko Ķūķis bija pavadījis pie manis, viņš sev atklāja ūdens pasauli",sarežģīts
"Par zvērkopi biju nostrādājusi vairāk nekā 28 gadus un izaudzinājusi visdažādākos dzīvnieku mazuļus: stirnēnus, lapsēnus, alnēnus un lācēnus",sarežģīts
"Mājas kaķi istabā laisti netika, kopš te dzīvoja ūdrēns",vidējs
Vasaras viducī kavalēristi un dagisti pirmo reizi satikās,vidējs
Koku grupai bijis citādi – tie allaž talkās brauca nedēļas nogalēs,vidējs
Kad 1976,viegls
Koku grupa turējās kopā divdesmit vienu gadu,viegls
"Tiekoties ar Koku grupu, dagisti izstāstīja par piramīdu",vidējs
"Māra Zālīte domā – Ziedoņa un Kaupera līdzība slēpjas pozitīvajā programmā, kas viņiem ir, varam tikai minēt, no kādiem avotiem",sarežģīts
"Svarīgi definēt autentiskās tradīcijas, kas šos svētkus padara vienreizējus",sarežģīts
Kas būtībā ir koris? Tas ir tāds kā sabiedrības modelis miniatūrā,vidējs
Uzvelciet baltu kreklu un rakstiet no rītiem,vidējs
Līdzās citām puķēm pašā dobes malā izdzina savu pirmo asniņu puķuzirnītis,sarežģīts
Runātāja bija saulespuķe,vidējs
"Puķuzirņi ir ātri augoši, ilgi ziedoši, viengadīgi vīteņaugi",sarežģīts
"Automašīnai piebraucot, pats Mežaks stāvēja viesnīcas durvīs",sarežģīts
Nu ko tad lai es citu daru? – atbildēja raudulīga bērna balss,vidējs
"Sākumā Raimonds, skaļi smiedamies par Viļa jokiem, nodevās tikai tiem, kamēr Mildiņa klusēdama vēroja abus zēnus",sarežģīts
"Raimonds iecirtās, paziņodams, ka viņš neēdīšot, nepārģērbšoties un savus jaunos draugus projām nelaidīšot",sarežģīts
"Rožkalns pievērsās Vilim: – Mēs tev būtu ļoti pateicīgi, ja tu šovakar atnāktu uz koncertu",sarežģīts
"Es zinu, tur bieži esmu bijis",viegls
Latvijas Republikas 1991,sarežģīts
Lībiešu rakstu valoda sāka attīstīties 19,vidējs
"Zinātnieki lēš, ka 2010",viegls
Monogrāfijas autors Valts Ernštreits stāsta: „Ar lībiešu rakstu valodas kopšanu esmu nodarbojies nu jau vairāk nekā piecpadsmit gadu,sarežģīts
Grāmatas ievadā autore raksta: „Kad bijām iekārtojušās Kolkā (Baiba ar mammu Valdu Mariju Šuvcāni atgriezās dzimtajā krastā 2006,sarežģīts
Igaunijas Dzimtās valodas biedrība un Lībiešu kultūras centrs izdevis Kārļa Staltes grāmatu „Jelzi sõnā,sarežģīts
"Grāmatas manuskriptā bija atstāta vieta ilustrācijām, bet pašu ilustrāciju nebija",sarežģīts
"Lietpratīgam, radošam daiļliteratūras lasītājam piemīt literārā kompetence",sarežģīts
Neviens vairs nelasa grāmatas,vidējs
"Iespējams, tās ir ļoti pesimistiskas prognozes, taču tās ir reālistiskas",sarežģīts
Biezā mežā dzīvoja divas vāverītes,viegls
Bet vieglprātīgajai biedrenei klājās pavisam grūti – pa māju svilpodams skraidīja auksts vējš,sarežģīts
"Lācēns Vinnijs Pūks gāja pie sava drauga Kristofera Robina, kas dzīvoja otrā meža malā",sarežģīts
"Es eju, – sacīja Pūks",viegls
"Ja man būs zaļš balons, tas izskatīsies pēc lapām, un viņas neko nenojautīs",sarežģīts
"Aleksam un Bastijam ir māsīca, kas kā uzburta uz brīvprātīgo darbu",sarežģīts
Tāda ir Anete,viegls
"Pēc krietniem pūliņiem, notašķītām rokām un nedaudz nosmērēta asfalta visapkārt soliņš bija nokrāsots",sarežģīts
Pēc pusdienām satikāmies pagalmā pie dārziem pārrunāt dienas plānus,sarežģīts
Mēs palūkojāmies apkārt,vidējs
"Protams, turpceļā ķerru izmantojām daudz labākiem mērķiem un visi tajā pavizinājāmies",sarežģīts
"Pirms 300 gadiem īstais Robinsons Krūzo tika izglābts no salas ieslodzījuma, kurā viņš nebūt nebija nelaimīgs",sarežģīts
"Pēc nebeidzamiem strīdiem ar kapteini viņu vienkārši izsēdināja nekurienē, tāpēc viņam nācās bezpalīdzīgi noskatīties, kā kuģis pazūd aiz horizonta",sarežģīts
"Cilvēki viņu, šķiet, ne visai ieredzēja – varbūt tieši tāpēc vīrs tik stoiski izturēja salas vientulību",sarežģīts
"Sijājot izrakumos izcelto zemi, arheologi ieguva vistiešāko Selkirka klātbūtnes pierādījumu: 1,6 centimetrus garu stūrainu bronzas gabaliņu ar smailu galu",sarežģīts
"Gandrīz trīs gadus Selkirks kuģoja pa pasauli ar pirātiem, kuri bija viņu izglābuši",sarežģīts
Indrāni man ir pirmais Blaumaņa un arī klasikas iestudējums,sarežģīts
Ventspils ir viena no lielākajām ostas pilsētām Latvijā,vidējs
Liepāja ir trešā lielākā pilsēta Latvijā un atrodas Baltijas jūras piekrastē starp Baltijas jūru un Liepājas ezeru,sarežģīts
"Darjas ģimene nesaprata, kas tas par putnu",vidējs
Tētis kopā ar brāli izgatavoja ērtu būri ar vairākiem nodalījumiem,sarežģīts
"Riks un Miks bija atšķīrušies no pārējiem bērniem un klīda pa mežu, lai veiktu uzdevumu – sasietu slotiņas",sarežģīts
"Jā…– gari stiepjot īso vārdiņu, nelaipni norūca Paija",vidējs
"Smejoties zēni trenkāja viens otru, un, kamēr viņi izklaidējās, Paija veikli plūca latvāņu lapas un sēja saišķos",sarežģīts
"Sapratuši, ka darbu nav paveikuši un laiks ir velti izšķiests, abi neziņā nemierīgi dīdījās uz vietas",sarežģīts
"Kāds ir tas pamudinājums, kas beidzot liek saņemties un uzrakstīt par savu bērnību? – Vispirms – tas nav atmiņu stāsts",sarežģīts
Ka nedrīkstētu savā daiļdarbā izmantot interpretāciju? – Jā,sarežģīts
Jums tas ir sanācis dzejisks,viegls
"Romānu sauks Laura? – Nē, Pieci pirksti",viegls
"Kāpēc tieši Laura? Jums pašai ir tik spēcīgs vārds, ka atrast pienācīgu aizstājēju ir grūti",vidējs
Dailes teātrī piedzīvojusi pirmizrādi lietuviešu dramaturga Marjus Ivaškeviča luga Izraidītie,sarežģīts
"Mūzika neapšaubāmi ir agresīva, uzbrūkoša, bet arī iekšā ievelkoša, pat aizraujoša",sarežģīts
Izraidīto „pārcelšanā” uz Rīgu būtiski transformējušies izrādes kultūrkodi,sarežģīts
Piedāvāju tēmu – Viļa Lācīša3 sociāli aso anekdoti Stroika ar skatu uz Londonu (2010,sarežģīts
"Varam, bet ļoti gribas tomēr kaut kur būt mājās – mēs, sabiedriskie dzīvnieki, meklējam savas alas, tumšas un siltas",sarežģīts
"Cilvēks ilgi domāja un beidzot izdomāja: „Labāk būs, ja sacīšu, ka paklanījos Vējam",sarežģīts
Vasarā Saule izlēma cilvēkam atriebties un vērsa savus starus uz cilvēku ar vislielāko spēku,sarežģīts
Ziemā savukārt Sals gribēja atriebties cilvēkam,vidējs
"Saule un Sals saprata, ka ir kļūdījušies",viegls
"Reiz sensenos laikos satikās trīs ceļa gājēji – Saule, Sals un Vējš",vidējs
"Cilvēks domāja, domāja un nezināja, ko atbildēt",vidējs
Pirms vācu ierašanās Latvijā 12,vidējs
"Tad amata vecākā mājā jāizstrādā meistara darbs – trijkāršā sakta, platā sakta un gredzens",sarežģīts
Maija grāfa svētkus Rīgā sāka svinēt 14,viegls
"Es piedzimu Torņkalnā godīgā kaķu ģimenē, melns kā ogle, tikai pašā astes galā dažas baltas spalvas",sarežģīts
"Es, pastarītis, biju mīlēts bērns, nekā man netrūka, ne tēva gādības, ne mātes rūpju",sarežģīts
Pieaugot mani kā puiša cilvēku tādas muļķības neinteresēja,vidējs
"Klausoties Toma stāstos, man aizrāvās elpa, acis mirdzēja",vidējs
Elvis ir 15 gadus vecs zēns,viegls
Dienasgrāmatas formā rakstītais romāns ir pirmais darbs ciklā „Smagais metāls”,sarežģīts
"„Mammu, es tevi mīlu” ir dinamisks attiecību trilleris par trīspadsmitgadīgu Rīgas skolnieku Raimondu un viņa māti",sarežģīts
„Bille” – viens no izcilākajiem 20,viegls
Jāņa Akuratera stāsts „Kalpa zēna vasara” ir rakstnieka atmiņas par vienu vasaru viņa jaunības gados,sarežģīts
„Smagais metāls” ir izrāde pēc Gundegas Repšes romāna „Alvas kliedziens” motīviem,sarežģīts
"„Lennebergas Emīls” pārtapis filmā, kuras galvenais varonis, protams, ir Emīls",sarežģīts
Valodu veido cilvēki,viegls
Paškritiski noskaņotie pārmet vārdu krājuma noplicinātību un izteiksmes izsmalcinātības iešanu zudībā,sarežģīts
Kurš jums personīgi šķiet viens no skaistākajiem vārdiem latviešu valodā? Labs jautājums,vidējs
Kukaiņi ķērās pie sagatavošanas darbiem,vidējs
"Vabolīte gan neko neteica, vien nosarka vēl vairāk",vidējs
"Bija jauka, nedaudz tveicīga vasaras diena",viegls
"Pēc tam vārdu lūdza krāšņais taurenis: „Mūzika vienmēr rada patīkamu svētku noskaņu,” viņš sacīja",sarežģīts
"„Piekrītu,” sacīja sapulces vadītājs",vidējs
Bet kas bija noticis šeit? Uz ledus rēgojās svaigi grauztas apses skaidas un zaru gali,vidējs
"Makša deguns, ieelpojot alas vilinošo aromātu, vēl vēlējās ilgāk patīksmināties",sarežģīts
"Tagad nu bija sastapušies divi nopietni mednieki: Maksis, alu suns un pēdu dzinējs, un neliela auguma pusmežonīga sarkanbrūna kaķene",sarežģīts
"Un nezin cik ilgi viņi abi tā draudošās pozās stāvētu, ja pēkšņi tālumā skaļi neierietos suns",sarežģīts
"Aizelsies Maksis arī tūlīt piesteidzās pie baltā koka un, izslējis degunu augšup, sāka lēkāt ap bērzu, skaļi ķilkstot",sarežģīts
"Suņi ir bijuši cilvēkam līdzās jau kopš seniem laikiem, palīdzot apsargāt mītni, bet galvenais – palīdzot sagādāt barību",sarežģīts
Lielbritānijas karaliskā nama intereses dēļ takši kļuva iemīļoti suņi šajā valstī,sarežģīts
"Tā kā taksim pirmajā vietā ir saimnieka ģimene, svešiniekiem viņam tikpat kā neatliek laika",sarežģīts
Ar novēlējumu Stay brutal! Jāni Joņevu uzrunā kāds draugs,vidējs
"Kāpēc tomēr rakstu? Gribas izstāstīt ko tādu, ko pat draugam nestāstītu",vidējs
"Kas tevi, zēnu, kurš labi mācījās un auga inteliģentu ģimenē, vilka pie smagā metāla? Es neesmu unikāls gadījums",sarežģīts
Kādas vērtības? Aisberga apakšējās daļas meklēšana,vidējs
"Vai tu tomēr iemācījies spēlēt ģitāru? Nē, nē! Romāns ir kā kompensācija tam, ka neiemācījos spēlēt",vidējs
Mazo palmiņu atnesa mājās vasaras vidū un novietoja uz palodzes,vidējs
„Ko tu tā brīnies?” ierunājās dīvainā puķe,vidējs
Bet tad kādu rītu logā iespīdēja spilgti saules stari,vidējs
Cilvēka pēda ir kā maza ķermeņa karte ar tūkstošiem nervu galu,vidējs
Otra garākā baskāju taka ir izveidota Sajūtu parkā Valmierā pie Gaujas,sarežģīts
"Tajā brīdī, kad 6 gadu vecumā „satiku” „Gredzenu pavēlnieku”, es sapratu, ka gribu rakstīt, turklāt gribu rakstīt fantāzijas literatūru",sarežģīts
"Sākumā es rakstu pati sev – to, ko man pašai gribētos lasīt",vidējs
Es pati visvairāk lasu fantāzijas žanra literatūru,vidējs
"Cenšos iespēju robežās izlasīt visu, ko latviešu autori ir sarakstījuši fantāzijas un fantastikas žanrā",sarežģīts
Katru dienu cenšos atrast kaut vai pavisam mazu iemeslu priekam,vidējs
Es gribu izstāstīt stāstu,viegls
Latvijas Nacionālās bibliotēkas vēsture ir gandrīz gadsimta garumā,sarežģīts
Interesenti gida pavadībā var doties ekskursijā pa bibliotēku no pirmā stāva līdz divpadsmitajam,sarežģīts
"Lai kļūtu par Latvijas Nacionālās bibliotēkas lasītāju, nepieciešams reģistrēties bibliotēkā",sarežģīts
"Bibliotēku drīkst apmeklēt, arī nereģistrējoties par lasītāju",sarežģīts
Audiovizuālā lasītava iekārtota 4,sarežģīts
"Matīss Kaža ir 21 gadu vecs jaunietis, kurš apgūst kino režiju Ņujorkas Universitātes Tiša Mākslas skolā",sarežģīts
Galveno varoni es atradu Ņujorkas teātrī,viegls
Sarunas noslēgumā viņa piedāvāja aiziet uz vēl kādu izrādi kopā,vidējs
"Tomēr viņa bija diezgan noslēgta – par sevi negribēja runāt, bet man uzdeva dažādus jautājumus",sarežģīts
"Mani, protams, vairāk interesē spēlfilmu veidošana, bet dokumentālais kino ir citāds",sarežģīts
"Nē, nav",viegls
"Manuprāt, ir trīs faktori",viegls
"Dokumentālajā kino tiek aktualizētas tēmas, kas ir politiski un sociāli nozīmīgas un atklāj nesenus vēsturiskus notikumus",sarežģīts
Pietrūkst oriģinalitātes,sarežģīts
"Visur, kur var filmēt! Kino ir māksla, kurā nepastāv ģeogrāfiskās robežas",vidējs
"Kino nav valodas barjeras, jo pastāv subtitri, turklāt ar stāstiem un cilvēkiem ir viegli asociēties",sarežģīts
„Kāpēc soms raksta par latviešu autoru? Es bieži arī sev to jautāju,viegls
"Patiešām – kāpēc ne? Somu žurnālists un rakstnieks Juka Rislaki, dzīvodams Latvijā, ir brīnišķīgi iemācījies latviešu valodu",sarežģīts
Pamudinājums ķerties pie darba par Albertu Kronenbergu viņam bijusi iepazīšanās ar mākslinieka meitu Rutu Kronenbergu,sarežģīts
"„Liekas, ka Juka ir labi un dziļi izpratis un dziļi izpētījis materiālu, par ko raksta",sarežģīts
„Tulkot nebija pārāk sarežģīti,vidējs
"„Šī grāmata ir kaut kas īpašs, ilgus gadus būvēts grandiozs panākums",vidējs
"Viņa arī atklāj, ka Leļļu teātris ir ieinteresējies par darba „Tuntuļu Jurītis” iestudēšanu, vēl Alberta Kronenberga 130",sarežģīts
"Alberts Kronenbergs ir jūrmalnieks – dzimis Slokā, visus darbus sarakstījis Majoros",sarežģīts
„Bērnībā bija privilēģija lasīt žurnālu „Mazās Jaunības Tekas”,vidējs
"Jukas Rislaki grāmata „Vilki, velni un vīri” veltīta mākslinieka, grāmatu ilustratora un autora Alberta Kronenberga (1887–1958) dzīvei un daiļradei",sarežģīts
"„Pārcēlies uz dzīvi Latvijā, sāku mācīties latviešu valodu – arī no grāmatām, ko ilustrējis mākslinieks Alberts Kronenbergs",sarežģīts
"Alberts Kronenbergs bija daudzpusīga un radoša personība, mūsdienās viņu galvenokārt pazīst kā bērnu grāmatu autoru",sarežģīts
"Ne bērnībā, ne skolas gados par rakstīšanu es nedomāju",vidējs
"Par rakstniecību sāku domāt pēc tam, kad biju neveiksmīgi startējis uz režisoriem kino institūtā Maskavā",sarežģīts
"Mīlestības impulss, ko saņēmu no savas sievas, palīdzēja iesākt pirmo romānu",sarežģīts
"Pirms tam es daudz domāju par romānu, sapratu, ka lielie romāni, kā, piemēram, Džeimsa Džoisa „Uliss”, prasa milzīgu lasītāja piepūli",sarežģīts
"Un pēc tam bija „Bezmiegs”, neveiksmīgs",viegls
"Romānu rakstot, vajag dabūt sevī darba ritmu",viegls
"Agrāk rakstīju ar rakstāmmašīnu, tagad – ar datoru",vidējs
"Mana formula ir vienkārša – kritika ir jāuzklausa, bet tai nav jāklausa",sarežģīts
Atzinība katram cilvēkam ir svarīga,vidējs
Lielā tīrumā auga cukurbiete Sana,viegls
Aiz tīruma bija augļu dārzs,viegls
Ar to vēl nebeidzās stāsts par cukurbieti Sanu,vidējs
Cukurbiete Sana bija pārtapusi par krāšņu varavīksni,sarežģīts
Latvijas kultūras vēsture nav iedomājama bez Raiņa un Aspazijas,sarežģīts
Jāņa Raiņa īstais uzvārds ir Pliekšāns,viegls
Oficiāli nākamajai dzejniecei ir trīs vārdi – Johanna Emīlija Lizete,sarežģīts
Viņš iesaka Elzai saukt sevi par Aspaziju,vidējs
"Rainis un Aspazija nav vienīgie latviešu dzejnieki, kuri „slēpušies” aiz pseidonīma",sarežģīts
Reiz kādā karstā vasaras dienā zēns ezera malā ganīja aitas,vidējs
"Tā nu gadījās, ka tanī pašā laikā ezerā nolaidās skaista varavīksne un uznesa puiku debesīs",sarežģīts
Puika prata labi izkurināt pirti un ar prieku vecīša lūgumu izpildīja,sarežģīts
Puika negaidīja ne mirkli un devās ceļā,viegls
"Daudzi jau bija izmēģinājuši, bet nevienam neveicās",vidējs
Princesei nu gribot negribot bijis jāprecas,vidējs
"Atlases laikā piedzīvoju satricinājumu, ko nebiju gaidījis",vidējs
"Interesanti, ka šie jaunieši ir ļoti vispusīgi, nodarbojas ar šķietami nesavienojamām lietām",sarežģīts
Šai paaudzei tā nav,viegls
"Viņiem ir ārkārtīgi svarīgi, lai viss būtu stilīgi",vidējs
"Mēs apjūsmojam jauno paaudzi, bet man šķiet, ka tam, ko jūs saucat par 20",sarežģīts
"Varētu domāt, ka par teātri zināt visu",viegls
Es nevaru būt nekas cits Kādam karalim piederēja brīnišķīgs dārzs,vidējs
"Pēkšņi karalis sajuta, ka no viena dārza stūra tomēr plūst gaisma, miers un siltums",sarežģīts
"Esmu pārliecināta, ka tu šeit vēlējies redzēt tieši neaizmirstulīti",sarežģīts
Pirms daudziem gadu tūkstošiem cilvēks pieradināja suni,vidējs
Pasaulē pazīstamākie pajūgu suņi ir haskiji Balto un Togo,vidējs
Kad 1925,viegls
"Lai glābtu saslimušos, ceļā devās 20 suņu pajūgi",vidējs
"Lai ātrāk sasniegtu tuvāko pilsētu, pajūgs šķērsoja trauslo jūras ledu",sarežģīts
Pēdējo bīstamā skrējiena posmu veica haskija Balto un viņa saimnieka vadītais suņu pajūgs,sarežģīts
"Attālumu, ko labos laikapstākļos suņu pajūgi parasti noskrēja divās nedēļās, Togo un Balto pieveica piecās dienās",sarežģīts
Linda Kusiņa-Šulce,viegls
Kā apgūst šādu valodas lietojuma virtuozitāti?,vidējs
Vēl regulāri lietoju dažādas man noderīgas somu un igauņu skaidrojošās un tulkojošās elektroniskās vārdnīcas,sarežģīts
"Katrai valodai ir sava, ja tā var teikt, „pasaules karte”",vidējs
"Manai mīļajai Rozai Liksomai ir vairāki teksti, kur monologa runātāja dzimums atklājas tikai pēdējā teikumā",sarežģīts
Ar autores piekrišanu,viegls
"Vēl joprojām atkal un atkal mēdz atskanēt paziņojumi, ka latviešu valoda nav pietiekami bagāta šim vai tam",sarežģīts
"No otras puses, visticamāk, jau tuvā nākotnē šī tradīcija atmirs",vidējs
Tāpat tulkotājam neizbēgami laiku pa laikam nākas jaunveidot – kaut vai tikai vienas grāmatas dēļ – pašam savus jaunvārdus,sarežģīts
"Atceros tikai, ka man brangi patika tulkot un bij’, ko ņemties",vidējs
"Man ir vairāki kolēģi, kuriem prasu padomu, ar kuriem apspriežos",vidējs
"Runāt par literatūru ir vienkārši un aizraujoši, ja sarunu biedri ir draugi vai paziņas",vidēji
"Nevaru vien nopriecāties, cik eleganti un gaumīgi tas izdevies Vides filmu studijai un raidījuma „Literatūre” veidotāju komandai",sarežģīts
Raidījums ir kā spēle,viegls
Izklausās vienkārši,viegls
Katrs no šiem vēstījumiem tikpat labi varētu palikt izglītojošas lekcijas rāmjos un būt ne mazāk noderīgs,sarežģīts
„Literatūrē” ir kaut kas no road movie žanra laiskās burvības,sarežģīts
"Šo daudzveidību vieno kvalitatīva montāža, kas neuzbāzīgi pārslēdzas no stāsta uz stāstu, neļaujot tiem pārāk sapīties",sarežģīts
"Dabas, ceļojumu un piedzīvojumu mīļotāji kopā ar lamu Atakamu un pingvīnu Humboltu Humboltu iepazīst Čīles brīnumaino dabu",sarežģīts
Grāmatā kāda trīs bērnu ģimene dodas apskatīt Rīgas torņus un iepazīt pilsētas arhitektūru un vēsturi,sarežģīts
Pasakā meitene Ella un viņas uzticamais draugs – suņuks Totoška – nejauši nokļūst brīnumainā Smaragda pilsētā,sarežģīts
"Dzejoļu krājumā autore aicina bērnus ievērot drošību, lai izvairītos no bīstamām situācijām un traumām",sarežģīts
"Tas ir stāsts par trusi Tru, kurš parūpējās par diviem cilvēku pamestiem kucēniem, lai tie spētu izdzīvot ziemas bargajos apstākļos",sarežģīts
"Kad cilvēks izlasa šo grāmatu, viņš saprot, kā jūtas pamesti dzīvnieki",vidējs
"Ja tu vēl neesi bijis Nacionālajā bibliotēkā, tad izlasi šo grāmatu! Tu uzzināsi par arhitektu G",vidējs
"Man patika, ka šo grāmatu klasē lasījām kopā",viegls
"Kad skolotāja sociālo zinību stundā lūdza mūs uzrakstīt par cilvēku, kuram es gribētu līdzināties, es rakstīju par Aleksandru Dobu",vidējs
"Tā kā es dzīvoju Rīgā netālu no Ugunsdzēsības muzeja, biju priecīgs, kad grāmatā lasīju par pazīstamo torni",vidējs
Manai mazajai māsai pirms gulētiešanas ļoti patīk klausīties pasakas,viegls
Pagājušajā gadā Latvijas Dabas muzejs pirmo reizi par gada dzīvniekiem ir atzinis divus – balto zaķi un pelēko zaķi,sarežģīts
Pelēkais zaķis ir lielākais no abām Latvijā sastopamajām zaķu sugām,vidējs
Ziemā tikai baltais zaķis kļūst pilnīgi balts,vidējs
